EAK_ID;author;title;gender;file;date;words;erzaehlperspektive;genre;kolimo_genre;flesch_cat_new;flesch_cat;sentences;word.length;sentence.length;flesch;nWS1;nWS2;nWS3;nWS4;ADJ;ADV;AP;ART;KO;N;P;V;$,;$,;$(;Rest;rel_ADJ;rel_ADV;rel_AP;rel_ART;rel_KO;rel_N;rel_P;rel_V;rel_Rest;Summe;Summe_ohne_Satzzeichen;nonMRW;MRW;rel_nonMRW;rel_MRW
ID1;Altenberg, Peter;Pròdrŏmŏs;male;altenberg_prodromos_1906.txt;1906;491;1. Person;Prosa experimentell;kurz;easy;fairly_easy;61;5,2;8,05;72,58;5,48;5,71;5,79;5,42;48;43;36;45;28;91;81;94;43;56;20;21;0,0987654;0,0884774;0,0740741;0,0925926;0,0576132;0,1872428;0,1666667;0,1934156;0,0432099;606;486;356;130;0,73251029;0,26748971
ID2;Andreas-Salomé, Lou;Fenitschka. Eine Ausschweifung;female;andreas_fenitschka_1898.txt;1898;526;3. Person;Novelle;kurz;difficult;diff;18;5,63;29,22;42,12;10,92;10,99;10,93;12,07;62;45;57;61;29;118;77;62;49;17;13;10;0,1190019;0,0863724;0,109405;0,1170825;0,0556622;0,2264875;0,1477927;0,1190019;0,0191939;600;521;449;72;0,86180422;0,13819578
ID3;Bierbaum, Otto Julius;Stilpe;male;bierbaum_stilpe_1897.txt;1897;502;1. Person;Roman;lang;difficult;fairly_diff;32;5,69;11,64;57,82;7,64;7,68;7,56;7,38;37;36;49;48;26;116;73;89;61;42;3;25;0,0738523;0,0718563;0,0978044;0,0958084;0,0518962;0,2315369;0,1457086;0,1776447;0,0499002;605;501;427;74;0,85229541;0,14770459
ID4;Déry, Juliane;Selige Liebe;female;dery_liebe_1896.txt;1896;499;1. Person;Prosa experimentell;kurz;easy;easy;60;4,63;8,32;88,56;1,89;2,38;2,61;2,5;48;32;34;29;53;76;109;103;40;60;15;18;0,0956175;0,063745;0,0677291;0,0577689;0,1055777;0,1513944;0,2171315;0,2051793;0,0358566;617;502;401;101;0,79880478;0,20119522
ID5;Eschstruth, Nataly von;Katz' und Maus;female;eschstruth_katz_1886.txt;1886;500;3. Person;Erzaehlendes Gedicht;kurz;plain;plain;27;5,17;18,52;67,53;5,91;6,06;5,55;6,13;60;32;38;35;33;117;72;89;73;27;17;15;0,1221996;0,0651731;0,0773931;0,0712831;0,0672098;0,2382892;0,1466395;0,1812627;0,0305499;608;491;408;83;0,83095723;0,16904277
ID6;Fontane, Theodor;Effi Briest;male;fontane_briest_1896.txt;1896;556;3. Person;Roman;lang;difficult;diff;15;5,79;37,71;31,82;12,28;12,38;12,86;14,61;94;44;58;65;43;133;54;51;52;15;5;12;0,1699819;0,079566;0,1048825;0,1175407;0,0777577;0,2405063;0,0976492;0,0922242;0,0216998;628;553;459;94;0,83001808;0,16998192
ID7;Fontane, Theodor;Irrungen, Wirrungen;male;fontane_irrungen_1888.txt;1888;524;3. Person;Roman;lang;difficult;fairly_diff;21;5,58;26,32;50,14;9,38;9,58;9,77;10,73;61;70;48;59;37;112;59;70;47;23;10;10;0,1168582;0,1340996;0,091954;0,1130268;0,0708812;0,2145594;0,1130268;0,1340996;0,0191571;606;522;457;65;0,87547893;0,12452107
ID8;Fontane, Theodor;Der Stechlin;male;fontane_stechlin_1899.txt;1899;529;3. Person;Roman;lang;plain;plain;23;5,16;23,44;61,32;6,73;6,98;7,28;8,18;54;62;55;63;32;120;64;54;57;23;6;22;0,1026616;0,1178707;0,1045627;0,1197719;0,0608365;0,2281369;0,121673;0,1026616;0,0418251;614;526;443;83;0,84220532;0,15779468
ID9;Fontane, Theodor;Schach von Wuthenow;male;fontane_wuthenow_1883.txt;1883;509;3. Person;Roman;lang;difficult;diff;24;5,82;30,64;36,36;11,75;11,74;11,76;12,96;46;36;53;49;29;127;76;77;59;24;15;15;0,0905512;0,0708661;0,1043307;0,0964567;0,0570866;0,25;0,1496063;0,1515748;0,0295276;607;508;429;79;0,84448819;0,15551181
ID10;Hagenauer, Arnold;Muspilli;male;hagenauer_muspilli_1900.txt;1900;499;3. Person;Roman;lang;easy;easy;51;4,45;9,88;87,57;1,64;2,14;2,73;2,74;33;47;40;38;55;69;104;92;43;49;11;21;0,0666667;0,0949495;0,0808081;0,0767677;0,1111111;0,1393939;0,210101;0,1858586;0,0424242;602;495;386;109;0,77979798;0,22020202
ID11;Heyking, Elisabeth von;Die Orgelpfeiferin;female;heyking_erzaehlungen_1918.txt;1918;543;3. Person;Novelle;kurz;difficult;fairly_diff;22;5,02;25,15;56,23;6,97;6,99;7,62;8,64;54;51;46;56;47;109;79;91;59;22;1;10;0,0994475;0,0939227;0,0847145;0,1031308;0,0865562;0,2007366;0,145488;0,1675875;0,0184162;625;543;495;48;0,91160221;0,08839779
ID12;Kafka, Franz;Ein Hungerkünstler;male;kafka_hungerkuenstler_1922.txt;1922;563;3. Person;Erzaehlung;kurz;difficult;fairly_diff;24;5,58;22,39;52,54;9,17;9,28;9,25;9,9;57;59;60;55;28;105;91;88;66;24;0;20;0,1012433;0,1047957;0,1065719;0,0976909;0,0497336;0,1865009;0,1616341;0,1563055;0,035524;653;563;510;53;0,90586146;0,09413854
ID13;Kafka, Franz;Der Prozess;male;kafka_prozess_1925.txt;1925;493;3. Person;Roman;lang;plain;plain;28;5;18,96;65,64;6,07;6,33;6,62;7,16;36;53;33;35;35;81;94;104;57;28;24;22;0,0730223;0,1075051;0,0669371;0,0709939;0,0709939;0,1643002;0,1906694;0,2109533;0,0446247;602;493;452;41;0,9168357;0,0831643
ID14;Kafka, Franz;Das Urteil;male;kafka_urteil_1913.txt;1913;455;3. Person;Erzaehlung;kurz;difficult;diff;13;5,39;34,25;43,27;10,24;10,37;10,65;12,26;55;64;56;50;29;92;94;88;55;16;6;20;0,100365;0,1167883;0,1021898;0,0912409;0,0529197;0,1678832;0,1715328;0,1605839;0,0364964;625;548;478;70;0,87226277;0,12773723
ID15;Kafka, Franz;Die Verwandlung;male;kafka_verwandlung_1915.txt;1915;420;3. Person;Erzaehlung;kurz;difficult;fairly_diff;20;5,33;18,46;59,25;7,14;7,25;7,45;7,88;60;33;51;53;24;97;86;93;59;28;15;20;0,1160542;0,0638298;0,098646;0,1025145;0,0464217;0,1876209;0,1663443;0,1798839;0,0386847;619;517;467;50;0,9032882;0,0967118
ID16;Keller, Gottfried;Das Sinngedicht;male;keller_sinngedicht_1882.txt;1882;539;3. Person;Novelle;kurz;difficult;diff;20;6,01;29,77;35,8;12,23;12,21;11,91;13,02;71;36;52;63;51;129;56;71;53;20;0;9;0,1324627;0,0671642;0,0970149;0,1175373;0,0951493;0,2406716;0,1044776;0,1324627;0,016791;612;536;433;103;0,80783582;0,19216418
ID17;Keyserling, Eduard von;Beate und Mareile;male;keyserling_beatemareile_1903.txt;1903;454;3. Person;Roman;lang;easy;fairly_easy;58;4,91;7,79;78,14;3,72;3,96;4,04;3,77;47;31;30;51;26;109;61;72;37;58;52;28;0,1035242;0,0682819;0,0660793;0,1123348;0,0572687;0,2400881;0,1343612;0,1585903;0,061674;602;454;383;71;0,84361233;0,15638767
ID18;Kraft, Robert;Der Medizinmann;male;kraft_medizinmann_1896.txt;1896;541;3. Person;Roman;lang;difficult;diff;19;5,33;28,47;46,1;9,88;10;10,83;11,91;43;43;54;59;35;122;74;97;57;20;3;11;0,0796296;0,0796296;0,1;0,1092593;0,0648148;0,2259259;0,137037;0,1796296;0,0203704;619;540;473;67;0,87592593;0,12407407
ID19;Kretzer, Max;Meister Timpe;male;kretzer_timpe_1888.txt;1888;532;3. Person;Roman;lang;difficult;fairly_diff;22;5,58;24,7;50,5;9,16;9,26;8,99;9,87;69;19;46;77;24;128;70;76;53;22;2;22;0,1314286;0,0361905;0,087619;0,1466667;0,0457143;0,2438095;0,1333333;0,1447619;0,0419048;608;525;399;126;0,76;0,24
ID20;Laßwitz, Kurd;Auf zwei Planeten;male;lasswitz_planeten01_1897.txt;1897;557;3. Person;Roman;lang;plain;plain;38;5,58;14,74;66,73;7,54;7,8;7,2;7,32;61;26;62;85;18;134;71;83;39;36;1;17;0,1095153;0,0466786;0,1113106;0,1526032;0,032316;0,2405745;0,1274686;0,1490126;0,0305206;633;557;453;104;0,81328546;0,18671454
ID21;May, Karl;Durchs Wilde Kurdistan;male;may_kurdistan_1892.txt;1892;492;1. Person;Roman;lang;easy;fairly_easy;42;4,87;10,83;74,67;4,36;4,56;4,67;4,63;17;31;46;64;29;109;85;97;37;42;30;14;0,0345528;0,0630081;0,0934959;0,1300813;0,0589431;0,2215447;0,1727642;0,1971545;0,0284553;601;492;449;43;0,91260163;0,08739837
ID22;Meißner, Alfred;Die Prinzessin von Portugal;male;meissner_prinzessin_1882.txt;1882;523;3. Person;Novelle;kurz;difficult;fairly_diff;25;5,32;26,75;52,65;8,31;8,44;8,6;9,69;53;32;70;60;34;142;49;70;51;24;3;11;0,1017274;0,0614203;0,134357;0,1151631;0,0652591;0,2725528;0,0940499;0,134357;0,0211132;600;521;440;81;0,84452975;0,15547025
ID23;Polenz, Wilhelm von;Der Büttnerbauer;male;polenz_buettnerbauer_1895.txt;1895;518;3. Person;Roman;lang;plain;fairly_diff;33;5,45;15,52;60,22;7,21;7,26;7,04;7,25;75;29;59;69;25;125;60;63;51;33;1;13;0,1447876;0,0559846;0,1138996;0,1332046;0,0482625;0,2413127;0,1158301;0,1216216;0,0250965;603;518;442;76;0,85328185;0,14671815
ID24;Preuschen, Hermione von;Yoshiwara;female;preuschen_yoshiwara_1920.txt;1920;485;3. Person;Roman;lang;plain;plain;30;5,35;16,17;65,17;6,18;6,3;6,3;6,62;54;38;40;46;29;105;77;84;58;30;34;9;0,1120332;0,0788382;0,0829876;0,0954357;0,060166;0,2178423;0,159751;0,1742739;0,0186722;605;482;394;88;0,81742739;0,18257261
ID25;Raabe, Wilhelm;Die Akten des Vogelsangs;male;raabe_akten_1896.txt;1896;520;1. Person;Roman;lang;plain;plain;35;5,05;14,75;69,57;5;5,22;5,59;5,83;45;49;48;45;40;99;101;85;45;33;10;8;0,0865385;0,0942308;0,0923077;0,0865385;0,0769231;0,1903846;0,1942308;0,1634615;0,0153846;608;520;428;92;0,82307692;0,17692308
ID26;Raabe, Wilhelm;Stopfkuchen;male;raabe_stopfkuchen_1891.txt;1891;527;1. Person;Roman;lang;difficult;fairly_diff;26;5,29;20,64;58,46;7,28;7,47;7,87;8,47;44;49;60;44;37;109;86;79;44;26;9;19;0,0834915;0,0929791;0,113852;0,0834915;0,0702087;0,2068311;0,1631879;0,1499051;0,0360531;606;527;437;90;0,82922201;0,17077799
ID27;Reventlow, Fanny Graefin zu;Herrn Dames Aufzeichnungen;female;reventlow_dames_1913.txt;1913;511;1. Person;Roman;lang;difficult;fairly_diff;27;5,35;18,4;56,68;8,18;8,31;8,77;9,1;55;64;31;35;47;83;102;82;42;27;29;14;0,1076321;0,1252446;0,0606654;0,0684932;0,0919765;0,1624266;0,1996086;0,1604697;0,0273973;611;511;421;90;0,82387476;0,17612524
ID28;Schnitzler, Arthur;Fräulein Else;male;schnitzler_else_1924.txt;1924;466;1. Person;Novelle;kurz;easy;fairly_easy;66;4,83;7,34;80,24;3,43;3,84;4,53;4,19;40;57;37;29;24;95;78;75;34;65;42;30;0,0858369;0,1223176;0,0793991;0,0622318;0,0515021;0,2038627;0,167382;0,1609442;0,0643777;606;466;439;27;0,94206009;0,05793991
ID29;Schnitzler, Arthur;Traumnovelle;male;schnitzler_traumnovelle_1926.txt;1926;547;3. Person;Novelle;kurz;difficult;fairly_diff;23;5,43;24,15;51,81;9,15;9,32;9,8;10,57;58;53;52;60;30;114;65;89;62;23;7;24;0,106422;0,0972477;0,0954128;0,1100917;0,0550459;0,2091743;0,1192661;0,1633028;0,0440367;639;545;506;39;0,92844037;0,07155963
ID30;Schreiner, Olive;Peter Halket im Mashonalande;female;schreiner_halket_1898.txt;1898;514;3. Person;Erzaehlung;kurz;plain;plain;29;5,17;17,64;61,81;6,66;6,8;7,08;7,47;55;39;47;58;40;101;81;97;35;31;6;22;0,1011029;0,0716912;0,0863971;0,1066176;0,0735294;0,1856618;0,1488971;0,1783088;0,0404412;612;544;500;44;0,91911765;0,08088235
ID31;Schubin, Ossip;Vollmondzauber;female;schubin_vollmondzauber01_1899.txt;1899;518;3. Person;Roman;lang;plain;plain;36;5,26;14,57;67,44;5,46;5,62;5,66;5,88;60;33;35;77;20;103;68;93;50;35;33;29;0,1158301;0,0637066;0,0675676;0,1486486;0,03861;0,1988417;0,1312741;0,1795367;0,0559846;636;518;467;51;0,9015444;0,0984556
ID32;Spyri, Johanna;Heidi's Lehr- und Wanderjahre;female;spyri_heidi_1880.txt;1880;513;3. Person;Roman;lang;difficult;fairly_diff;27;5,14;21,71;59,53;6,63;6,79;7,36;8,09;51;45;46;58;29;99;72;92;57;27;23;21;0,0994152;0,0877193;0,0896686;0,1130604;0,0565302;0,1929825;0,1403509;0,1793372;0,0409357;620;513;463;50;0,90253411;0,09746589
ID33;Storm, Theodor;Ein Doppelgänger;male;storm_doppelgaenger_1887.txt;1887;521;1. Person;Novelle;kurz;plain;plain;27;5,07;19,58;63,77;6,28;6,4;6,81;7,39;44;43;64;53;34;108;88;80;52;26;12;6;0,0846154;0,0826923;0,1230769;0,1019231;0,0653846;0,2076923;0,1692308;0,1538462;0,0115385;611;520;455;65;0,875;0,125
ID34;Storm, Theodor;John Riew';male;storm_riew_1885.txt;1885;540;1. Person;Novelle;kurz;difficult;fairly_diff;31;5,45;19,33;57,28;8,02;8,13;8,06;8,53;54;59;56;61;33;101;72;87;35;31;11;16;0,1001855;0,109462;0,1038961;0,1131725;0,0612245;0,187384;0,1335807;0,16141;0,0296846;617;539;482;57;0,89424861;0,10575139
ID35;Sturza, Marie Tihanyi;Das Gelübde einer dreißigjährigen Frau;female;sturza_geluebde_1905.txt;1905;461;3. Person;Roman;lang;easy;fairly_easy;37;4,88;12,67;73,81;4,1;4,19;4,48;4,62;37;45;33;34;21;99;83;80;51;37;53;27;0,0802603;0,0976139;0,0715835;0,0737527;0,0455531;0,2147505;0,1800434;0,1735358;0,0585683;600;461;426;35;0,92407809;0,07592191
