"Erwartungswert_MRW"	"Erwartungswert_nonMRW"	"Standardisierte Residuen_MRW"	"Standardisierte Residuen_nonMRW"
"1"	68.6557758334256	417.344224166574	7.40346689278258	-3.00280046527043
"2"	73.60012182966	447.39987817034	-0.186515008122477	0.075649335815372
"3"	70.7747812603832	430.225218739617	0.383371572855017	-0.155493143146591
"4"	70.9160482888471	431.083951711153	3.57242088259081	-1.44895185508875
"5"	69.3621109757448	421.637889024255	1.63751769288814	-0.664167066767953
"6"	78.1206667405028	474.879333259497	1.79659130186921	-0.728686340505272
"7"	73.7413888581238	448.258611141876	-1.01794610197963	0.412872654516023
"8"	74.3064569719792	451.693543028021	1.00851771446076	-0.409048558745974
"9"	71.7636504596301	436.23634954037	0.854215161552082	-0.34646439589677
"10"	69.9271790896002	425.0728209104	4.67252638397662	-1.89514785478023
"11"	76.7079964558644	466.292003544136	-3.27780085505172	1.32945579080098
"12"	79.5333370251412	483.466662974859	-2.97520757482405	1.20672582444682
"13"	69.6446450326725	423.355354967328	-3.43241333224731	1.39216565702759
"14"	77.4143315981836	470.585668401816	-0.842677350862392	0.341784731111481
"15"	73.0350537158046	443.964946284195	-2.69540204058575	1.09323842718228
"16"	75.7191272566176	460.280872743382	3.13512932224968	-1.27158909790113
"17"	64.1352309225828	389.864769077417	0.857190997486165	-0.347671376579853
"18"	76.2841953704729	463.715804629527	-1.06298463252917	0.43114000445462
"19"	74.1651899435153	450.834810056485	6.01895996705647	-2.44125300366249
"20"	78.6857348543582	478.314265145642	2.85375918372916	-1.15746710679906
"21"	69.5033780042087	422.496621995791	-3.17905670405292	1.28940577276808
"22"	73.60012182966	447.39987817034	0.862552032890892	-0.349845779442831
"23"	73.1763207442685	444.823679255732	0.330088260049708	-0.13388176042549
"24"	68.0907077195703	413.90929228043	2.41274763319356	-0.978595544554496
"25"	73.4588548011961	446.541145198804	2.16328868224915	-0.877416534124667
"26"	74.447724000443	452.552275999557	1.80247081841167	-0.731071036116793
"27"	72.1874515450216	438.812548454978	2.09650162675241	-0.850328116735354
"28"	65.8304352641489	400.169564735851	-4.78584793672096	1.94111037696529
"29"	76.9905305127921	468.009469487208	-4.32968899877261	1.75609512790084
"30"	76.8492634843283	467.150736515672	-3.747190581891	1.51983736615727
"31"	73.1763207442685	444.823679255732	-2.59241311275752	1.05146675387315
"32"	72.4699856019493	440.530014398051	-2.63951240020269	1.07056993408621
"33"	73.4588548011961	446.541145198804	-0.986937142232025	0.400295611880982
"34"	76.1429283420091	462.857071657991	-2.19378259261833	0.889784675911559
"35"	65.1241001218297	395.87589987817	-3.73287300110346	1.51403024378164
